Id da Delegacia (RDO),Número do Bo (RDO),Ano do BO (RDO),Data do Óbito,Data do Acidente,Tipo de via,Dia do óbito,Mês do Óbito,Mês Óbito Descrição,Ano do Óbito,Ano/Mês do Óbito,Dia da Semana,Hora do Acidente,Turno,Município,Região Administrativa,Logradouro,Númeral / KM,Jurisdição,Administração,Conservação,Tipo do local da ocorrência,LAT_(GEO),LONG_(GEO),Tipo do veículo da vítima,Tipo de vítima,Local do óbito,Tipo de acidente,Sub Tipo do Acidente,Tempo entre o Acidente e o óbito,Sexo,Faixa etária,Idade da vítima,Outro Veículo Envolvido
120607,13557,2017,2017-11-28,2017-09-27,Vias Municipais,28,11,NOVEMBRO,2017,2017.11,QUARTA,9:15:00,MANHA,SOROCABA,Sorocaba,AVENIDA ITAVUVU,"2151,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.465329,-47.47898,PEDESTRE,PEDESTRE,OUTROS,ATROPELAMENTO,,Mais de 30 dias,FEMININO,35-39,36.0,AUTOMOVEL
30418,10379,2017,2017-11-28,2017-11-28,Vias Municipais,28,11,NOVEMBRO,2017,2017.11,TERÇA,11:10:00,MANHA,OSASCO,Metropolitana de São Paulo,RUA DONA PRIMITIVA VIANCO,"194,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.529885,-46.775552,PEDESTRE,PEDESTRE,VIA,ATROPELAMENTO,,Mesmo dia,FEMININO,65-69,67.0,AUTOMOVEL
10354,6197,2017,2017-11-28,2017-11-28,Vias Municipais,28,11,NOVEMBRO,2017,2017.11,TERÇA,12:10:00,TARDE,SAO PAULO,Metropolitana de São Paulo,RUA MANOEL CAMPOS,"34,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.601857,-46.40081,PEDESTRE,PEDESTRE,ESTABELECIMENTO DE SAUDE,ATROPELAMENTO,,Mesmo dia,FEMININO,70-74,70.0,AUTOMOVEL
120607,16540,2017,2017-11-28,2017-10-30,Vias Municipais,28,11,NOVEMBRO,2017,2017.11,SEGUNDA,16:25:00,TARDE,SOROCABA,Sorocaba,RUA COMENDADOR OETTERER,"1300,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.487757,-47.464137,PEDESTRE,PEDESTRE,ESTABELECIMENTO DE SAUDE,ATROPELAMENTO,,Até 30 dias,MASCULINO,65-69,66.0,MOTOCICLETA
100919,26401,2017,2017-11-28,2017-11-28,Vias Municipais,28,11,NOVEMBRO,2017,2017.11,TERÇA,13:25:00,TARDE,RIBEIRAO PRETO,Ribeirão Preto,RUA BERNARDINO DE CAMPOS,"1000,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-21.174185,-47.787983,NAO DISPONIVEL,CONDUTOR,ESTABELECIMENTO DE SAUDE,COLISAO,,Mesmo dia,MASCULINO,65-69,67.0,AUTOMOVEL
110708,7769,2017,2017-11-28,2017-11-28,Vias Municipais,28,11,NOVEMBRO,2017,2017.11,TERÇA,15:00:00,TARDE,CATANDUVA,São José do Rio Preto,VICINAL JOSE FERNANDES,NAO DISPONIVEL,MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-21.114815,-48.978829,MOTOCICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,COLISAO,,Mesmo dia,MASCULINO,60-64,63.0,AUTOMOVEL
100919,26248,2017,2017-11-27,2017-11-26,NAO DISPONIVEL,27,11,NOVEMBRO,2017,2017.11,DOMINGO,17:50:00,TARDE,BEBEDOURO,Barretos,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,PUBLICO,,,NAO DISPONIVEL,CONDUTOR,ESTABELECIMENTO DE SAUDE,COLISAO,,Dia anterior,FEMININO,75-79,77.0,CAMINHAO
60404,27635,2017,2017-11-27,2017-11-27,Rodovias,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,22:08:00,NOITE,BAURU,Bauru,SP 300,"345,4",ESTADUAL,CONCESSIONÁRIA,VIARONDON,PUBLICO,-22.2938605628071,-49.0725987020866,PEDESTRE,PEDESTRE,VIA,ATROPELAMENTO,,Mesmo dia,MASCULINO,NAO DISPONIVEL,,AUTOMOVEL
100915,1326,2017,2017-11-27,2017-11-27,Rodovias,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,19:30:00,NOITE,GUAIRA,Barretos,SP 345,"128,0",ESTADUAL,DER,DR14 - Barretos,PUBLICO,-20.444541620025,-48.25750550842,CAMINHAO,CONDUTOR,VIA,COLISAO,,Mesmo dia,MASCULINO,55-59,55.0,CAMINHAO
30201,3949,2017,2017-11-27,2017-11-27,Rodovias,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,14:30:00,TARDE,ARUJA,Metropolitana de São Paulo,BR 116,"199,0",FEDERAL,CONCESSIONÁRIA,NOVADUTRA,PUBLICO,-23.3936950786782,-46.2868751324038,PEDESTRE,PEDESTRE,ESTABELECIMENTO DE SAUDE,ATROPELAMENTO,,Mesmo dia,MASCULINO,75-79,76.0,AUTOMOVEL
110429,13264,2017,2017-11-27,2017-11-27,Rodovias,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,NAO DISPONIVEL,NAO DISPONIVEL,SAO JOSE DO RIO PRETO,São José do Rio Preto,BR 153,"67,0",ESTADUAL,CONCESSIONÁRIA,TRANSBRASILIANA,PUBLICO,-20.8432337505971,-49.3717180018032,MOTOCICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,COLISAO,,Mesmo dia,MASCULINO,18-24,23.0,AUTOMOVEL
120427,190,2017,2017-11-27,2017-11-27,Rodovias,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,7:00:00,MANHA,TAQUARIVAI,Itapeva,SP 258,"255,2",ESTADUAL,CONCESSIONÁRIA,SPVIAS,PUBLICO,-23.9369812410248,-48.6223986525851,MOTOCICLETA,CONDUTOR,OUTROS,COLISAO,,Mesmo dia,MASCULINO,35-39,36.0,AUTOMOVEL
120607,16466,2017,2017-11-27,2017-11-27,Rodovias,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,13:00:00,TARDE,SOROCABA,Sorocaba,SP 270,"90,05",ESTADUAL,CONCESSIONÁRIA,VIAOESTE,PUBLICO,-23.498387959,-47.379272793,PEDESTRE,PEDESTRE,OUTROS,ATROPELAMENTO,,Mesmo dia,MASCULINO,45-49,47.0,AUTOMOVEL
130207,1631,2017,2017-11-27,2017-11-27,Rodovias,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,9:45:00,MANHA,LORENA,São José dos Campos,BR 116,"56,0",FEDERAL,CONCESSIONÁRIA,NOVADUTRA,PUBLICO,-22.7625528631179,-45.122055386053,PEDESTRE,PEDESTRE,ESTABELECIMENTO DE SAUDE,ATROPELAMENTO,,Mesmo dia,MASCULINO,NAO DISPONIVEL,,NAO DISPONIVEL
100919,25718,2017,2017-11-27,2017-11-20,NAO DISPONIVEL,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,8:30:00,MANHA,PITANGUEIRAS,Ribeirão Preto,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,NAO DISPONIVEL,PUBLICO,,,BICICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,OUTROS,,Até 7 dias,FEMININO,45-49,49.0,NAO DISPONIVEL
70015,2522,2017,2017-11-27,2017-11-27,Vias Municipais,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,17:00:00,TARDE,CAMPINAS,Campinas,AVENIDA DAS AMOREIRAS,"1220,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-22.91925,-47.074143,PEDESTRE,PEDESTRE,VIA,ATROPELAMENTO,,Mesmo dia,MASCULINO,70-74,70.0,ONIBUS
10356,8881,2017,2017-11-27,2017-11-27,Vias Municipais,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,21:40:00,NOITE,SAO PAULO,Metropolitana de São Paulo,AVENIDA GIOVANNI GRONCHI,"5491,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.628186,-46.735964,BICICLETA,CONDUTOR,VIA,COLISAO,,Mesmo dia,MASCULINO,25-29,28.0,ONIBUS
70931,7768,2017,2017-11-27,2017-11-27,Vias Municipais,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,NAO DISPONIVEL,NAO DISPONIVEL,INDAIATUBA,Campinas,RUA DOS INDAIAS,"897,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.102258,-47.212088,PEDESTRE,PEDESTRE,ESTABELECIMENTO DE SAUDE,ATROPELAMENTO,,Mesmo dia,FEMININO,75-79,75.0,MOTOCICLETA
100919,26251,2017,2017-11-27,2017-11-27,Vias Municipais,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,3:00:00,MADRUGADA,RIBEIRAO PRETO,Ribeirão Preto,AVENIDA MEIRA JUNIOR,"277,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-21.178203,-47.798878,MOTOCICLETA,CONDUTOR,VIA,OUTROS,,Mesmo dia,MASCULINO,30-34,33.0,NAO DISPONIVEL
10314,10322,2017,2017-11-27,2017-11-21,Vias Municipais,27,11,NOVEMBRO,2017,2017.11,TERÇA,NAO DISPONIVEL,NAO DISPONIVEL,SAO PAULO,Metropolitana de São Paulo,RUA DOUTOR ZUQUIM,"1554,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.492144,-46.624517,NAO DISPONIVEL,NAO DISPONIVEL,ESTABELECIMENTO DE SAUDE,NAO DISPONIVEL,,Até 7 dias,MASCULINO,60-64,63.0,NAO DISPONIVEL
10374,11176,2017,2017-11-27,2017-11-27,Vias Municipais,27,11,NOVEMBRO,2017,2017.11,SEGUNDA,4:50:00,MADRUGADA,SAO PAULO,Metropolitana de São Paulo,TRAVESSA PAU-POMBO,"20,0",MUNICIPAL,PREFEITURA,PREFEITURA,PUBLICO,-23.739936,-46.671342,MOTOCICLETA,CONDUTOR,ESTABELECIMENTO DE SAUDE,OUTROS,,Mesmo dia,MASCULINO,0-17,17.0,NAO DISPONIVEL
